algorithm,n,time
f_cubic,30,0.11584019660949707
f_cubic,30,0.10051298141479492
f_cubic,30,0.10497927665710449
f_cubic,30,0.10657906532287598
f_cubic,30,0.09517192840576172
f_cubic,42,0.13157010078430176
f_cubic,42,0.1377580165863037
f_cubic,42,0.16499996185302734
f_cubic,42,0.11016082763671875
f_cubic,42,0.10825896263122559
f_cubic,59,0.13240385055541992
f_cubic,59,0.1175079345703125
f_cubic,59,0.17325615882873535
f_cubic,59,0.18223094940185547
f_cubic,59,0.1564931869506836
f_cubic,84,0.14957213401794434
f_cubic,84,0.14415431022644043
f_cubic,84,0.1456441879272461
f_cubic,84,0.18780279159545898
f_cubic,84,0.1407928466796875
f_cubic,118,0.13508009910583496
f_cubic,118,0.12450098991394043
f_cubic,118,0.11937403678894043
f_cubic,118,0.11399173736572266
f_cubic,118,0.2669801712036133
f_cubic,167,0.2078080177307129
f_cubic,167,0.141279935836792
f_cubic,167,0.140488862991333
f_cubic,167,0.16397786140441895
f_cubic,167,0.16682171821594238
f_cubic,235,0.252291202545166
f_cubic,235,0.23476791381835938
f_cubic,235,0.135329008102417
f_cubic,235,0.10792183876037598
f_cubic,235,0.11911892890930176
f_cubic,332,0.1430802345275879
f_cubic,332,0.12145733833312988
f_cubic,332,0.12139701843261719
f_cubic,332,0.13123106956481934
f_cubic,332,0.19166779518127441
f_cubic,468,0.18761229515075684
f_cubic,468,0.12936806678771973
f_cubic,468,0.12697887420654297
f_cubic,468,0.13190388679504395
f_cubic,468,0.17565107345581055
f_cubic,660,0.2758500576019287
f_cubic,660,0.18385004997253418
f_cubic,660,0.1902470588684082
f_cubic,660,0.18113994598388672
f_cubic,660,0.19179987907409668
f_cubic,931,0.20305180549621582
f_cubic,931,0.2066500186920166
f_cubic,931,0.19693374633789062
f_cubic,931,0.20258879661560059
f_cubic,931,0.19503307342529297
f_cubic,1313,0.3112971782684326
f_cubic,1313,0.3122391700744629
f_cubic,1313,0.3507649898529053
f_cubic,1313,0.3250088691711426
f_cubic,1313,0.33951687812805176
f_cubic,1852,0.680361270904541
f_cubic,1852,0.646651029586792
f_cubic,1852,0.7265362739562988
f_cubic,1852,0.6315619945526123
f_cubic,1852,0.656987190246582
f_cubic,2611,1.5321030616760254
f_cubic,2611,1.5716469287872314
f_cubic,2611,1.541825771331787
f_cubic,2611,1.521911859512329
f_cubic,2611,1.5782091617584229
f_cubic,3682,4.680820941925049
f_cubic,3682,4.537338018417358
f_cubic,3682,4.238769769668579
f_cubic,3682,4.194814920425415
f_cubic,3682,4.574143886566162
f_cubic,5192,12.544455766677856
f_cubic,5192,12.494518756866455
f_cubic,5192,11.877060174942017
f_cubic,5192,11.082139015197754
f_cubic,5192,11.483654022216797
f_quartic,30,0.10287213325500488
f_quartic,30,0.10022091865539551
f_quartic,30,0.10625720024108887
f_quartic,30,0.10137200355529785
f_quartic,30,0.1019277572631836
f_quartic,42,0.0993661880493164
f_quartic,42,0.09817004203796387
f_quartic,42,0.09781599044799805
f_quartic,42,0.10931611061096191
f_quartic,42,0.11025476455688477
f_quartic,59,0.10853409767150879
f_quartic,59,0.11908912658691406
f_quartic,59,0.11559081077575684
f_quartic,59,0.11400079727172852
f_quartic,59,0.11914801597595215
f_quartic,84,0.10696005821228027
f_quartic,84,0.10595512390136719
f_quartic,84,0.10515713691711426
f_quartic,84,0.10369086265563965
f_quartic,84,0.10847783088684082
f_quartic,118,0.11121106147766113
f_quartic,118,0.11068582534790039
f_quartic,118,0.11169624328613281
f_quartic,118,0.10895824432373047
f_quartic,118,0.12043333053588867
f_quartic,167,0.1476137638092041
f_quartic,167,0.11776900291442871
f_quartic,167,0.11756229400634766
f_quartic,167,0.11481189727783203
f_quartic,167,0.1181790828704834
f_quartic,235,0.1559760570526123
f_quartic,235,0.15575885772705078
f_quartic,235,0.15753793716430664
f_quartic,235,0.1598062515258789
f_quartic,235,0.16393399238586426
f_quartic,332,0.31616902351379395
f_quartic,332,0.3126192092895508
f_quartic,332,0.31018590927124023
f_quartic,332,0.3125607967376709
f_quartic,332,0.31349611282348633
f_quartic,468,0.8840911388397217
f_quartic,468,0.8928978443145752
f_quartic,468,0.9299168586730957
f_quartic,468,0.8835122585296631
f_quartic,468,0.8973901271820068
f_quartic,660,3.1946239471435547
f_quartic,660,3.1731367111206055
f_quartic,660,3.2015981674194336
f_quartic,660,3.19486403465271
f_quartic,660,3.1416027545928955
f_quartic,931,11.989151954650879
f_quartic,931,12.06044316291809
f_quartic,931,12.002487897872925
f_quartic,931,12.05445384979248
f_quartic,931,12.027520179748535
f_hashmap,30,0.10746288299560547
f_hashmap,30,0.10991883277893066
f_hashmap,30,0.10202717781066895
f_hashmap,30,0.10199928283691406
f_hashmap,30,0.11330199241638184
f_hashmap,42,0.10703802108764648
f_hashmap,42,0.10486292839050293
f_hashmap,42,0.10164690017700195
f_hashmap,42,0.10458517074584961
f_hashmap,42,0.11238718032836914
f_hashmap,59,0.10733985900878906
f_hashmap,59,0.1106259822845459
f_hashmap,59,0.10888791084289551
f_hashmap,59,0.11828875541687012
f_hashmap,59,0.13136696815490723
f_hashmap,84,0.12876296043395996
f_hashmap,84,0.10084986686706543
f_hashmap,84,0.10941195487976074
f_hashmap,84,0.10169506072998047
f_hashmap,84,0.10782289505004883
f_hashmap,118,0.11676692962646484
f_hashmap,118,0.11095118522644043
f_hashmap,118,0.13640213012695312
f_hashmap,118,0.13819313049316406
f_hashmap,118,0.13181281089782715
f_hashmap,167,0.1487259864807129
f_hashmap,167,0.18515610694885254
f_hashmap,167,0.14658403396606445
f_hashmap,167,0.12212920188903809
f_hashmap,167,0.16513276100158691
f_hashmap,235,0.1575469970703125
f_hashmap,235,0.1509418487548828
f_hashmap,235,0.1446988582611084
f_hashmap,235,0.17689800262451172
f_hashmap,235,0.1464231014251709
f_hashmap,332,0.16488194465637207
f_hashmap,332,0.16723895072937012
f_hashmap,332,0.19205975532531738
f_hashmap,332,0.1917109489440918
f_hashmap,332,0.2017810344696045
f_hashmap,468,0.23768901824951172
f_hashmap,468,0.24318480491638184
f_hashmap,468,0.19817090034484863
f_hashmap,468,0.2100992202758789
f_hashmap,468,0.23071908950805664
f_hashmap,660,0.40307116508483887
f_hashmap,660,0.26981472969055176
f_hashmap,660,0.2818319797515869
f_hashmap,660,0.2910449504852295
f_hashmap,660,0.264603853225708
f_hashmap,931,0.40310096740722656
f_hashmap,931,0.4097709655761719
f_hashmap,931,0.40538620948791504
f_hashmap,931,0.4571690559387207
f_hashmap,931,0.42404675483703613
f_hashmap,1313,0.7685918807983398
f_hashmap,1313,0.7961108684539795
f_hashmap,1313,0.8188791275024414
f_hashmap,1313,0.7533402442932129
f_hashmap,1313,0.8844459056854248
f_hashmap,1852,1.9028418064117432
f_hashmap,1852,1.6167011260986328
f_hashmap,1852,1.4565019607543945
f_hashmap,1852,1.4253120422363281
f_hashmap,1852,1.5903291702270508
f_hashmap,2611,2.9832258224487305
f_hashmap,2611,3.163094997406006
f_hashmap,2611,2.9114789962768555
f_hashmap,2611,3.005697011947632
f_hashmap,2611,3.0841171741485596
f_hashmap,3682,6.727085113525391
f_hashmap,3682,5.9620349407196045
f_hashmap,3682,5.895452260971069
f_hashmap,3682,5.914093017578125
f_hashmap,3682,6.088397026062012
f_hashmap,5192,22.41682481765747
f_hashmap,5192,13.402567148208618
f_hashmap,5192,13.247606754302979
f_hashmap,5192,12.99877381324768
f_hashmap,5192,13.434661865234375
